Year,Population
2024,8161972572
2023,8091734930
2022,8021407192
2021,7954448391
2020,7887001292
2015,7470491872
2010,7021732148
2005,6586970132
2000,6171702993
1995,5758878982
1990,5327803110
1985,4868943465
1980,4447606236
1975,4070735277
1970,3694683794
1965,3334533703
1960,3015470894
1955,2740213792
